moment,scale
ur_total,0.052286632960413346
ur_U,0.06362254968415751
ur_S,0.026013316626321868
skilled_share,0.3016386700000836
training_share,0.019586246994264915
emp_var_U,0.2976155527702428
emp_cm3_U,0.03952533964276981
emp_var_S,0.2455504839277038
emp_cm3_S,0.056059475675653746
jfr_U,0.30252390177516003
sep_rate_U,0.015251190044086439
jfr_S,0.3203693070552002
sep_rate_S,0.006241053726647359
ee_rate_S,0.008001156422400993
mean_wage_U,6.207655635317946
mean_wage_S,6.592281045181464
p25_wage_U,5.855003645538577
p25_wage_S,6.2977391924481205
p50_wage_U,6.232608360440127
p50_wage_S,6.611588406069641
wage_premium,0.384625409863518
theta_U,0.43463221897750215
theta_S,1.210645759694679
