moment,scale
ur_total,0.08309096580744973
ur_U,0.10266838429816544
ur_S,0.04172028583110952
skilled_share,0.32073397108125284
training_share,0.022174726642385376
emp_var_U,0.29171059805972577
emp_cm3_U,0.028323285353463328
emp_var_S,0.2507017301921252
emp_cm3_S,0.05442977437578889
jfr_U,0.21065507840711103
sep_rate_U,0.020563169546990397
jfr_S,0.23746587701615032
sep_rate_S,0.008171147810899174
ee_rate_S,0.0047867426040108
mean_wage_U,6.533127283351405
mean_wage_S,6.914892495899875
p25_wage_U,6.185038787554421
p25_wage_S,6.616541651520574
p50_wage_U,6.563173765815542
p50_wage_S,6.929511222045359
p75_wage_U,6.922020270094673
p75_wage_S,7.254354372333091
wage_premium,0.38176521254847035
theta_U,0.21365222830172337
theta_S,0.6460904752323855
overlap_UgtS,0.2265727046953637
overlap_SltU,0.2070038224591759
ltu_share_S,0.3240640259453588
wchg_rate_U,0.1030975315454853
wchg_rate_S,0.09107783500797101
ee_step_S,0.06867033150329008
