moment,value
ur_total,0.04444823702418101
ur_U,0.05629619558864838
ur_S,0.024671708929366962
skilled_share,0.37659727919434616
training_share,0.04615717636483675
emp_var_U,0.30578781996702287
emp_cm3_U,-0.009489859868346023
emp_var_S,0.26654851561678583
emp_cm3_S,-0.043484839382215854
jfr_U,0.2963867052352885
sep_rate_U,0.013278439094211395
jfr_S,0.31699028213257063
sep_rate_S,0.005919420906107979
ee_rate_S,0.008544665655798797
mean_wage_U,-0.2402875529479936
mean_wage_S,0.1447644091456749
p25_wage_U,-0.6054397578367868
p25_wage_S,-0.17468978695414433
p50_wage_U,-0.2357059197044728
p50_wage_S,0.1459670958823806
wage_premium,0.38505196209366843
theta_U,0.7534376394235422
theta_S,1.836916309451248
