moment,sampling_var
ur_total,4.2894469901363124e-8
ur_U,8.4838366325322e-8
ur_S,6.631659647374312e-8
skilled_share,4.948874583095483e-7
training_share,3.805968270171141e-7
emp_var_U,1.2315990974912172e-5
emp_cm3_U,8.88780893458293e-6
emp_var_S,9.427879981286964e-6
emp_cm3_S,9.060871686533e-6
jfr_U,5.323207129944756e-6
sep_rate_U,1.1773139247566719e-8
jfr_S,2.3032718858470572e-5
sep_rate_S,8.796413357991883e-9
ee_rate_S,1.0223578573867737e-7
mean_wage_U,2.1091326273801835e-5
mean_wage_S,1.531888342112851e-5
p25_wage_U,3.694891848246892e-5
p25_wage_S,1.9362739298518128e-5
p50_wage_U,2.8398356375700612e-5
p50_wage_S,1.939387681491198e-5
p75_wage_U,3.057435129638783e-5
p75_wage_S,2.2266448222885345e-5
wage_premium,3.6410209694930343e-5
theta_U,6.49345703924622e-6
theta_S,0.00013626299051440932
overlap_UgtS,2.0862949805829003e-5
overlap_SltU,2.1748932720471316e-5
ltu_share_S,1.955152473476099e-5
wchg_rate_U,4.982691409819479e-7
wchg_rate_S,8.69254932884472e-7
ee_step_S,0.0006259535826795637
