moment,sampling_var
ur_total,4.4020705629446935e-8
ur_U,7.497085726223484e-8
ur_S,7.674254883247513e-8
skilled_share,3.973455061896396e-7
training_share,4.314832147088758e-6
emp_var_U,8.015176702954186e-6
emp_cm3_U,5.587470924105559e-6
emp_var_S,8.428925150498519e-6
emp_cm3_S,9.483846659694057e-6
jfr_U,3.7910765995241994e-6
sep_rate_U,1.0594645028662029e-8
jfr_S,2.3392378387006717e-5
sep_rate_S,9.852829592261217e-9
ee_rate_S,2.6016991714009374e-7
mean_wage_U,1.4241306813812964e-5
mean_wage_S,1.3336515374525946e-5
p25_wage_U,2.572895051350201e-5
p25_wage_S,1.8210930696139965e-5
p50_wage_U,1.8225417597212495e-5
p50_wage_S,1.5469867340056144e-5
p75_wage_U,1.8314904743149317e-5
p75_wage_S,1.902493694774543e-5
wage_premium,2.757782218833891e-5
theta_U,1.4277299875992302e-6
theta_S,6.048334457850131e-5
overlap_UgtS,1.6282771245703726e-5
overlap_SltU,1.655112403676925e-5
ltu_share_S,1.9748933955423342e-5
wchg_rate_U,1.733098265593906e-6
wchg_rate_S,1.2228941584516433e-5
ee_step_S,0.0008428348668952673
