moment,sampling_var
ur_total,1.1290664741603747e-7
ur_U,2.3326375288859338e-7
ur_S,1.79200021800821e-7
skilled_share,9.338473728428402e-7
training_share,3.175402522616979e-7
emp_var_U,2.2650647365549603e-5
emp_cm3_U,1.6730407633165074e-5
emp_var_S,1.550063053214172e-5
emp_cm3_S,1.402851515101895e-5
jfr_U,1.0346577952671555e-5
sep_rate_U,4.38656814729094e-8
jfr_S,3.133218180280778e-5
sep_rate_S,3.0521936322102615e-8
ee_rate_S,2.9765354932070984e-6
mean_wage_U,3.943014803617699e-5
mean_wage_S,2.5657719751043222e-5
p10_wage_U,0.00010583557774841278
p10_wage_S,7.320258017656145e-5
p25_wage_U,6.485221091352328e-5
p25_wage_S,3.349190777648021e-5
p50_wage_U,5.381530479224117e-5
p50_wage_S,3.356216573691803e-5
p75_wage_U,5.616236013742563e-5
p75_wage_S,3.797438999680277e-5
p90_wage_U,9.75501717378804e-5
p90_wage_S,5.575297761222516e-5
wage_premium,6.508786778722021e-5
theta_U,1.738826162334947e-5
theta_S,0.00027227482150758405
overlap_UgtS,4.0635626065956584e-5
overlap_SltU,4.290359579889211e-5
ltu_share_S,2.2935845640287724e-5
wchg_rate_U,1.3536605340010014e-6
wchg_rate_S,1.6545515198275808e-6
ee_step_S,0.0011491882744880473
usurv5_U,5.3752687357573675e-6
usurv14_U,8.320600933352574e-6
usurv27_U,6.867300274529708e-6
usurv53_U,2.78201961868281e-6
usurv5_S,1.5101338171904748e-5
usurv14_S,2.654094191717635e-5
usurv27_S,2.2935845640287724e-5
usurv53_S,1.0144854186360551e-5
