moment,sampling_var
ur_total,4.3007756681371e-8
ur_U,7.687800456586746e-8
ur_S,6.977018757842583e-8
skilled_share,1.2302081798793174e-7
training_share,4.051829292226221e-8
emp_var_U,1.0357836817086339e-5
emp_cm3_U,6.788057712621841e-6
emp_var_S,1.0567530225542533e-5
emp_cm3_S,1.0333796957995968e-5
jfr_U,2.6901364565028483e-6
sep_rate_U,2.5758294272886308e-8
jfr_S,1.6376050088775714e-5
sep_rate_S,2.0746842900103925e-8
ee_rate_S,2.388565640176584e-8
mean_wage_U,1.9393626101719165e-5
mean_wage_S,1.6837917867412523e-5
p25_wage_U,4.338385889727307e-5
p25_wage_S,2.988194449164436e-5
p50_wage_U,3.2616430142321414e-5
p50_wage_S,2.221574534318772e-5
p75_wage_U,2.9150509324811033e-5
p75_wage_S,3.098206793538159e-5
wage_premium,3.623154396913169e-5
theta_U,3.178559291086757e-7
theta_S,1.670813690512712e-5
overlap_UgtS,2.1032345667497777e-5
overlap_SltU,2.2054135886321227e-5
ltu_share_S,9.838122971579906e-6
wchg_rate_U,2.2365893916804826e-6
wchg_rate_S,1.3103435846249277e-5
ee_step_S,0.001364092207620119
