moment,scale
ur_U,0.056565905099662785
ur_S,0.024671708929366962
skilled_share,0.3596481700627638
training_share,0.04497778063418934
emp_var_U,0.28914313256049207
emp_cm3_U,0.2665328746616636
emp_var_S,0.45749750435459935
emp_cm3_S,0.36308818317954533
jfr_U,0.2565001428660103
sep_rate_U,0.013190669532237166
jfr_S,0.2716621670181845
sep_rate_S,0.005901935652047667
ee_rate_S,0.00850826375468986
mean_wage_U,0.9155990358063367
mean_wage_S,1.3165695710506196
p25_wage_U,0.5411317788839403
p25_wage_S,0.8391608391608391
p50_wage_U,0.7923671420603936
p50_wage_S,1.1727307995250578
wage_premium,0.38782200538115436
theta_U,1.5157601082299264
theta_S,2.8442673668300342
