ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_U,emp_var_S,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,p50_wage_U,p50_wage_S,wage_premium,theta_U,theta_S
9.102701109317585e-8,2.3641294476626195e-8,-9.533369918336705e-8,8.672854846209687e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3641294476626195e-8,1.225601216001262e-8,-2.6893495271155016e-8,-7.0386636905101155e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.533369918336705e-8,-2.6893495271155016e-8,1.349630448110446e-7,-2.1874249941636537e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.672854846209687e-9,-7.0386636905101155e-9,-2.1874249941636537e-9,3.4771324955296316e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.833564899438625e-10,1.154417790844502e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8037081243149454e-10,0.0,-5.725512613290083e-7,0.0,-1.649209145420555e-10,0.0,0.0
0.0,0.0,0.0,0.0,1.154417790844502e-9,2.7800368063624107e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1150131227861047e-10,0.0,-9.981295281111185e-8,0.0,-1.9799864977361294e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.195204391343341e-10,9.136119058275786e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.9578632648813777e-10,0.0,-9.864541949891342e-7,1.2607033683147988e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.136119058275786e-10,1.898843504703673e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.777553038807206e-10,0.0,7.755537199833113e-7,8.557498467689215e-11,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65320819655949e-7,-3.232436341386257e-8,6.753322951404072e-7,-5.042868327464178e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.232436341386257e-8,5.262315750872034e-9,-2.4008701937911623e-9,1.5458451141170005e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.753322951404072e-7,-2.4008701937911623e-9,3.0362930284669406e-6,9.660934458550997e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.042868327464178e-11,1.5458451141170005e-9,9.660934458550997e-9,2.904008771517898e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3981233691788517e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.8037081243149454e-10,4.1150131227861047e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9668885406328243e-10,0.0,-1.9004500977381883e-6,0.0,-2.8255839146183237e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.9578632648813777e-10,2.777553038807206e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.7650276836549377e-10,0.0,-3.3974315195969e-6,2.74238938369793e-10,0.0,0.0
0.0,0.0,0.0,0.0,-5.725512613290083e-7,-9.981295281111185e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9004500977381883e-6,0.0,0.03463907596676265,0.0,2.2003202073522688e-6,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-9.864541949891342e-7,7.755537199833113e-7,0.0,0.0,0.0,0.0,0.0,0.0,-3.3974315195969e-6,0.0,0.07934190595928585,-2.745043723717432e-6,0.0,0.0
0.0,0.0,0.0,0.0,-1.649209145420555e-10,-1.9799864977361294e-10,1.2607033683147988e-10,8.557498467689215e-11,0.0,0.0,0.0,0.0,0.0,-2.8255839146183237e-10,2.74238938369793e-10,2.2003202073522688e-6,-2.745043723717432e-6,5.754826708364231e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017820849753688798,0.00018129497502724455
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018129497502724455,0.0002628365980594598
