ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_U,emp_var_S,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,p50_wage_U,p50_wage_S,wage_premium,theta_U,theta_S
2.528541462392202e-6,1.2812568290363344e-6,1.491719650564015e-7,-8.439982292767853e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2812568290363344e-6,6.842072962651291e-7,7.605264848720458e-8,-5.377739144424357e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.491719650564015e-7,7.605264848720458e-8,2.6030436225481205e-8,-3.304802944802373e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.439982292767853e-8,-5.377739144424357e-8,-3.304802944802373e-9,1.7080053408228457e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.717457829918282e-9,1.5939530541023424e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822328771622332e-9,0.0,-1.6842230678870362e-6,0.0,-1.5837304344716293e-9,0.0,0.0
0.0,0.0,0.0,0.0,1.5939530541023424e-8,4.3806311976448324e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263714962086108e-9,0.0,-9.636992057652891e-7,0.0,-2.5265663351191945e-9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.621858967057297e-9,7.457287108498358e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.1563689420736623e-9,0.0,-2.6696730392346923e-6,9.389724046013655e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.457287108498358e-9,1.6219788788964806e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.3484154406368637e-9,0.0,1.185557176514986e-6,8.092210860842431e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1431554598999526e-6,-4.171125539320942e-7,1.4174192232872358e-6,-7.767352635758944e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.171125539320942e-7,1.4750778995034504e-6,2.2011177236198284e-7,6.857985699989371e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4174192232872358e-6,2.2011177236198284e-7,2.176060632950874e-6,1.9082518310714699e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.767352635758944e-8,6.857985699989371e-7,1.9082518310714699e-7,3.28769483266404e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97787471200292e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.822328771622332e-9,5.263714962086108e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5496755288082486e-9,0.0,-5.121871483529296e-6,0.0,-2.345303887264777e-9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.1563689420736623e-9,2.3484154406368637e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.6212681329879196e-9,0.0,-8.600918871717554e-6,1.9080413618786217e-9,0.0,0.0
0.0,0.0,0.0,0.0,-1.6842230678870362e-6,-9.636992057652891e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.121871483529296e-6,0.0,0.030647300226800147,0.0,5.8647038749110655e-6,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-2.6696730392346923e-6,1.185557176514986e-6,0.0,0.0,0.0,0.0,0.0,0.0,-8.600918871717554e-6,0.0,0.07286480148363997,-6.985739371368184e-6,0.0,0.0
0.0,0.0,0.0,0.0,-1.5837304344716293e-9,-2.5265663351191945e-9,9.389724046013655e-10,8.092210860842431e-10,0.0,0.0,0.0,0.0,0.0,-2.345303887264777e-9,1.9080413618786217e-9,5.8647038749110655e-6,-6.985739371368184e-6,4.37569525324522e-9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007972483599707219,0.001345177375707693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001345177375707693,0.002330803845661573
