ur_U,ur_S,skilled_share,training_share,emp_var_U,emp_cm3_U,emp_var_S,emp_cm3_S,jfr_U,sep_rate_U,jfr_S,sep_rate_S,ee_rate_S,mean_wage_U,mean_wage_S,p50_wage_U,p50_wage_S,wage_premium,theta_U,theta_S
2.3788676431349858e-7,1.1602968801454745e-7,3.18277191881146e-10,-1.2427599420795007e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1602968801454745e-7,6.030863684066205e-8,-1.303864620977843e-9,-2.622797902542472e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.18277191881146e-10,-1.303864620977843e-9,4.9505437905099075e-9,5.76580066252559e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2427599420795007e-9,-2.622797902542472e-9,5.76580066252559e-9,1.0270622807463601e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.780470774283999e-10,1.450933053157821e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.602009372190269e-10,0.0,-8.381566258869377e-7,0.0,-3.3707970184413625e-10,0.0,0.0
0.0,0.0,0.0,0.0,1.450933053157821e-9,2.8272014848184597e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.623696136617937e-10,0.0,2.486129489255191e-7,0.0,-2.56811423185908e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.9121034566129888e-9,2.263614090940319e-9,0.0,0.0,0.0,0.0,0.0,0.0,9.756105413900882e-10,0.0,-1.4430821444936826e-6,4.0231140678822457e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.263614090940319e-9,3.9790684797475886e-9,0.0,0.0,0.0,0.0,0.0,0.0,7.251063253666714e-10,0.0,1.3957276815748145e-6,2.1390362547225057e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0219901685457277e-6,-8.055812221497883e-8,1.309413300815942e-6,-3.7594647535610276e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.055812221497883e-8,9.424183058588818e-9,-9.824072743418548e-8,4.0192112358720296e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309413300815942e-6,-9.824072743418548e-8,1.941083933637764e-6,-4.9946071201059875e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7594647535610276e-8,4.0192112358720296e-9,-4.9946071201059875e-8,3.0823722154653052e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2593327484275715e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.602009372190269e-10,5.623696136617937e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.389818470803994e-10,0.0,-3.7176996783764345e-6,0.0,-8.547390990146611e-10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.756105413900882e-10,7.251063253666714e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.4593675958976595e-9,0.0,-5.77768454529127e-6,1.0769154870463643e-9,0.0,0.0
0.0,0.0,0.0,0.0,-8.381566258869377e-7,2.486129489255191e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7176996783764345e-6,0.0,0.04150781579500448,0.0,4.334210461153584e-6,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.4430821444936826e-6,1.3957276815748145e-6,0.0,0.0,0.0,0.0,0.0,0.0,-5.77768454529127e-6,0.0,0.058257839798635074,-4.651594409399264e-6,0.0,0.0
0.0,0.0,0.0,0.0,-3.3707970184413625e-10,-2.56811423185908e-10,4.0231140678822457e-10,2.1390362547225057e-10,0.0,0.0,0.0,0.0,0.0,-8.547390990146611e-10,1.0769154870463643e-9,4.334210461153584e-6,-4.651594409399264e-6,1.9949219608694636e-9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3885997908833744e-5,7.44193225034685e-5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44193225034685e-5,0.00016707545969638413
