param,h,dQ_dh_before,dQ_dh_after
μ_S,3e-08,450.96,450.97
μ_S,1e-07,458.6,458.6
μ_S,3e-07,460.81,460.81
μ_S,1e-06,461.82,461.82
μ_S,3e-06,462.92,462.92
μ_S,1e-05,465.65,465.65
λ_S,3e-08,-450.57,-450.57
λ_S,1e-07,-448.78,-448.78
λ_S,3e-07,-451.86,-451.86
λ_S,1e-06,359570.0,359570.0
λ_S,3e-06,119380.0,119380.0
λ_S,1e-05,35320.0,35320.0
β_S,3e-08,200.61,200.61
β_S,1e-07,196.35,196.35
β_S,3e-07,198.52,198.52
β_S,1e-06,199.32,199.32
β_S,3e-06,199.7,199.7
β_S,1e-05,200.39,200.39
k_S,3e-08,-277.96,-277.96
k_S,1e-07,-277.94,-277.94
k_S,3e-07,-277.37,-277.37
k_S,1e-06,-277.98,-277.98
k_S,3e-06,119670.0,119670.0
k_S,1e-05,35608.0,35608.0
