param,colnorm_h1e6,colnorm_mean,spread,spread_pair,spread_nrm,feasible
a_ℓ,596.7485465488185,16977.470744223665,2.0121278484032343,3.0181917788410084,1.6727905448066815,true
b_ℓ,290.9537957054007,290.9538004907293,3.8185105835890503e-7,6.043489661522579e-7,2.859546576587891e-8,true
ρ_x,21.47587495878915,21.47587496653399,9.434182887250153e-9,1.4516065203006567e-8,1.943240021003605e-9,true
c,2052.7440609501277,2052.74400407647,1.5830168510518858e-7,2.487841093691593e-7,2.4098634868408332e-8,true
A,4357.592673207329,4357.592687772403,6.42317089355898e-8,1.0182714360735492e-7,5.173671723326247e-9,true
b_U,14.304598777753059,14.304598728423764,1.2986607345586003e-8,2.1790274369796943e-8,8.120876936552814e-9,true
b_S,8.134522499388373e-11,8.140824803440842e-11,0.004690649080924573,0.008395884552481112,0.0015921901871764543,true
P_S,111.79490681318,111.79490648975506,4.882626790862621e-7,7.723273102393323e-7,7.732416642386918e-9,true
α_U,212.61684450700125,212.61684542978446,1.6418901539990066e-8,2.650506135079292e-8,7.430808051499477e-9,true
a_Γ,62.50965913946075,62.509659532142926,1.6267199099570886e-7,2.461704632599228e-7,6.049893630956248e-9,true
b_Γ,55.01217456669672,55.01217445785743,1.6616759865692824e-7,2.568562360647703e-7,1.7603299902770044e-9,true
δ_S,14.653556462646057,14.653559227401235,9.516175474542903e-7,1.5095979433247454e-6,3.92954924105859e-7,true
μ_U,139.89835848579207,139.89835844890575,6.995405520062477e-9,1.153210445393986e-8,8.384553294777977e-10,true
μ_S,39022.38446862003,17274.140749236656,1.2590107649000999,2.2664105185569787,1.1409758623481798,true
β_U,50.83903736092772,50.83903745511237,1.0032583317681001e-8,1.7194685263645587e-8,6.625438082190399e-9,true
β_S,63.442425867190046,4008.505760699853,2.0216469218746727,3.0324703927552283,1.705115892174989,true
λ_U,39.379402837804115,39.37940290981937,5.674486982923662e-9,1.0690540396396459e-8,1.5841993583224132e-9,true
λ_S,17376.764433898723,7698.524118430801,1.2571576181034583,2.263035560085139,1.142094293764547,true
k_U,343.88367670485616,343.88367741903835,4.12698102370039e-9,6.556868086719472e-9,2.5157841385260113e-9,true
k_S,679.4136461604079,42361.92045345634,2.02605746517302,3.039086202413277,1.7047994560804203,true
σ_S,1.2340895680480128,1.2340901183448307,3.948636409222184e-6,6.529869628032892e-6,1.1120426685540524e-6,true
ξ_U,0.1776785724686584,0.17767857616085062,6.598156500144975e-8,1.063578953628143e-7,4.1980091331299575e-8,true
ξ_S,0.18741034000318718,0.18741034190115763,1.9530577510207957e-6,3.0406612523894797e-6,1.82193257346581e-8,true
