L,k,n,feas,p_improve,gain,gain_se,gain_given
0.33,1,48,1.0,0.5625,2.5240240491409103,0.76360751793346,4.487153865139396
0.33,2,48,1.0,0.4375,5.109791511548795,1.429114909499847,11.679523454968674
0.33,3,48,0.9583333333333334,0.4791666666666667,6.420606958284324,1.4627473602022811,13.399527565115111
0.33,5,48,1.0,0.3333333333333333,2.7603453263126405,0.7921420909004305,8.281035978937922
0.33,8,48,1.0,0.4166666666666667,6.221595537295909,1.5150586775332135,14.931829289510182
0.33,12,48,1.0,0.5625,9.263636205908393,1.8088113529361918,16.46868658828159
0.33,16,48,0.9791666666666666,0.3958333333333333,7.1808830798862955,1.6167083244675295,18.141178307081166
0.33,23,48,1.0,0.5416666666666666,7.23437486013925,1.5081827833555261,13.35576897256477
1.0,1,48,0.9583333333333334,0.3333333333333333,2.0615197726347105,0.7617900933249905,6.184559317904132
1.0,2,48,0.9791666666666666,0.2708333333333333,4.662013009241335,1.556706686835345,17.213586495660312
1.0,3,48,0.9791666666666666,0.3333333333333333,5.897859101231416,1.5974534200102235,17.693577303694248
1.0,5,48,0.9791666666666666,0.22916666666666666,3.299039974152618,1.1140794628724089,14.395810796302333
1.0,8,48,1.0,0.4583333333333333,11.113006994833592,2.3211201941602027,24.246560716000566
1.0,12,48,1.0,0.4375,11.124371668041482,2.5503846565831414,25.42713524123767
1.0,16,48,0.9791666666666666,0.22916666666666666,6.721050848236172,2.159035686106534,29.32822188321239
1.0,23,48,0.9791666666666666,0.3541666666666667,13.244619813456003,3.3953431967169707,37.396573590934594
