param,name,block,theta,lb,ub,dist_lb,dtheta_dt,wQ1_up,wQ1_dn,hit_infeasible_up,hit_infeasible_dn,se_chain,width_over_se,verdict
worker type shape a_ℓ,a_ℓ,common,1.0605175868574028,0.1,8.0,0.9605175868574028,0.84373353183685,0.0008715861150979515,0.001437727862554379,true,false,0.009440581336375585,0.09232335213718625,SE HIGH
worker type shape b_ℓ,b_ℓ,common,2.4021238700291034,0.05,4.0,2.3521238700291036,0.9514943257352587,0.0033326796333841236,0.002519230326615644,false,false,0.02896862181685482,0.08696410697556485,SE HIGH
ability correlation ρ_x,ρ_x,common,-0.8221148387431454,-1.0,-0.1,0.1778851612568546,0.14272612726199108,0.001498000435742311,0.000590656038982874,false,false,0.005668800500505133,0.10419418339563052,ok
training cost coeff c,c,common,11.122864503499217,0.0,15.0,11.122864503499217,2.8749901859523574,0.006009749332832879,0.011608946716908973,true,true,0.011305848600450976,0.5315611012686972,ok
aggregate production scale A,A,common,7.640403955847197,3.0,13.0,4.640403955847197,2.487069068502965,0.00179898452668542,0.0011782842124704292,false,false,0.005970866809869668,0.1973388872990367,ok
unskilled outside flow b_U,bU,unsk,0.06548587002887814,0.0,0.407241,0.06548587002887814,0.054955498152178296,0.00031558533101715646,0.00018218053930152986,false,false,0.0009913660411850118,0.1837671775439913,ok
skilled outside flow b_S,bS,skl,6.263193733552608e-6,0.0,0.325793,6.263193733552608e-6,6.263073327049878e-6,0.00146480748007632,NaN,false,false,2.4561692827065696e-7,5963.788776245012,SE LOW
skilled productivity P_S,PS,skl,2.0911120751808436,1.6e-5,3.257928,2.0910960751808436,0.7489226844825289,0.0035732313361740943,0.0039948307588598886,false,false,0.01907483690874405,0.18732696658266568,ok
unskilled damage shape α_U,α_U,unsk,4.143711003865836,0.2,6.0,3.943711003865836,1.2621840242085118,0.00932653793846265,0.005606501263552432,false,false,0.029707551198552968,0.18872310363385053,ok
skilled offer shape a_Γ,a_Γ,skl,0.37443317652625585,0.1,12.0,0.2744331765262559,0.2681043052339625,0.0013605262345781593,0.001303323087494383,false,false,0.006705758373218639,0.19435879060295042,ok
skilled offer shape b_Γ,b_Γ,skl,0.30990812819655134,0.1,10.0,0.20990812819655133,0.20545747948109883,0.00110208234826163,0.0011464745336789912,true,true,0.008141481221423729,0.13536631950480688,ok
shock/offer support ratio δ_S,δ,skl,0.8579784276614617,0.05,1.0,0.8079784276614617,0.12078985969694815,0.002101544799667677,0.0015348828480551354,true,false,0.004241619899839445,0.36186242150392456,ok
unskilled matching eff μ_U,μ,unsk,0.44638632220353264,0.0001,2.0,0.44628632220353265,0.3466956019745435,0.0005887308276347136,0.001180980821866233,false,false,0.00242924270644712,0.24235158803698117,ok
skilled matching eff μ_S,μ,skl,0.24608025279425483,0.0001,2.0,0.24598025279425484,0.21572559767913632,0.0005000769474546459,0.00017909536349991858,true,true,0.002488588574222778,0.07196664219832023,SE HIGH
unskilled bargaining β_U,β,unsk,0.6810598943139206,0.001,0.9,0.6800598943139206,0.16562000571073837,0.0007976935222671403,0.00034302679312677624,false,false,0.005941412144312992,0.05773489278220078,SE HIGH
skilled bargaining β_S,β,skl,0.3217525240281803,0.0001,0.9,0.3216525240281803,0.2066838094891214,0.000635140477147758,0.00045632881277533096,false,true,0.002997413850624353,0.15224084344585215,ok
unskilled damage rate λ_U,λ,unsk,0.16207318191521844,0.0001,0.55,0.16197318191521845,0.11426394085367919,0.00043007218772534014,0.00024118028234885674,false,false,0.0012445878582880983,0.19378325181525924,ok
skilled quality shock λ_S,λ,skl,0.12887573260434068,0.0001,0.5,0.1287757326043407,0.09560271938612773,0.00010043278666863246,0.0002917889585695522,true,false,0.0017484639619764508,0.05744058147764394,SE HIGH
unskilled vacancy cost k_U (months of avg U output),k,unsk,0.7496883735276609,0.0005,12.0,0.749188373527661,0.7024128229606356,0.0020952881406871154,0.0009187434570872658,false,false,0.014016504081362867,0.06554726141084487,SE HIGH
skilled vacancy cost k_S (months of avg S output),k,skl,2.7181694224608517,0.0005,12.0,2.7176694224608515,2.1021665190249834,0.003959847373711129,0.01112313697090941,true,true,0.02957065264557291,0.13391139590907766,ok
OJS flow cost σ_S,σ,skl,0.18019205092376528,0.0,0.244345,0.18019205092376528,0.04730954783954903,0.0008503084973996054,0.002237883210569321,true,true,0.001233524254370976,0.6893326129474544,ok
unskilled exogenous separation ξ_U,ξ,unsk,0.003660713346474498,0.0,0.02,0.003660713346474498,0.002990672236221672,3.951985177648368e-5,7.20077329896119e-5,false,false,0.00010561374950733096,0.37419229940075643,ok
skilled exogenous separation ξ_S,ξ,skl,0.0039727069309074495,0.0,0.02,0.0039727069309074495,0.003183586912963445,5.538141905600621e-5,5.517756281721797e-5,true,false,9.091845136062508e-5,0.6068907025083167,ok
