block,name,label,point_estimate,post_mean,se_curvature,se_bound,q025,q500,q975,rhat,ess,edge_frac,spread_growth,se_chain,symbol
common,a_ℓ,worker type shape a_ℓ,1.07450668,NaN,0.23066252,0.80319434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,a_ℓ
common,b_ℓ,worker type shape b_ℓ,2.43207637,NaN,0.56472770,2.02759607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,b_ℓ
common,ρ_x,ability correlation ρ_x,-0.81634891,NaN,0.14953750,0.57154559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ρ_x
common,c,training cost coeff c,11.10847602,NaN,0.14627028,0.53417719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,c
common,A,aggregate production scale A,7.64583764,NaN,0.07608544,0.27901098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,A
unsk,bU,unskilled outside flow b_U,0.06615946,NaN,0.00739241,0.02573351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,b_U
skl,bS,skilled outside flow b_S,0.00000110,NaN,0.09819696,0.35034892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,b_S
skl,PS,skilled productivity P_S,1.82673122,NaN,0.31289990,1.02576824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P_S
unsk,α_U,unskilled damage shape α_U,4.12945291,NaN,0.74136252,2.66212623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,α_U
skl,a_Γ,skilled offer shape a_Γ,0.37157829,NaN,2.43686434,7.68693335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,a_Γ
skl,b_Γ,skilled offer shape b_Γ,0.28978309,NaN,1.24392890,4.44757660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,b_Γ
skl,δ,shock/offer support ratio δ_S,0.95923316,NaN,0.08587406,0.30226371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,δ_S
unsk,μ,unskilled matching eff μ_U,0.44928716,NaN,0.05322173,0.18527651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,μ_U
skl,μ,skilled matching eff μ_S,0.24765856,NaN,0.01368340,0.04647072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,μ_S
unsk,β,unskilled bargaining β_U,0.66603950,NaN,0.03827591,0.13971399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,β_U
skl,β,skilled bargaining β_S,0.33770456,NaN,0.10812633,0.30325541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,β_S
unsk,λ,unskilled damage rate λ_U,0.16211913,NaN,0.00348816,0.01275746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,λ_U
skl,λ,skilled quality shock λ_S,0.12463797,NaN,0.00422268,0.01152589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,λ_S
unsk,k,unskilled vacancy cost k_U (months of avg U output),0.79733940,NaN,0.55803002,2.05489120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,k_U
skl,k,skilled vacancy cost k_S (months of avg S output),2.80358016,NaN,2.77560581,9.13872253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,k_S
skl,σ,OJS flow cost σ_S,0.17325298,NaN,0.05576309,0.18493338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,σ_S
unsk,ξ,unskilled exogenous separation ξ_U,0.00410452,NaN,0.00322983,0.01133868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ξ_U
skl,ξ,skilled exogenous separation ξ_S,0.00407240,NaN,0.00217961,0.00753231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ξ_S
