proposal,seed,iterations,Q_start,Q_best,dQ,acceptance,feasibility,path_width_normalised,moved_mean,moved_sd,moved_min,moved_max,shipped
fixed_k3_per_coord_step,20240601,250,842.051543,759.858627,82.1929,0.164,0.944,25.6158,3.0,0.0,3,3,False
fixed_k3_per_coord_step,20240602,250,842.051543,760.523129,81.5284,0.172,0.972,26.7958,3.0,0.0,3,3,False
fixed_k3_per_coord_step,20240603,250,842.051543,762.098606,79.9529,0.184,0.964,10.7559,3.0,0.0,3,3,False
mask_p_move_12_over_d,20240601,250,842.051543,750.644715,91.4068,0.176,0.944,13.3257,12.6,2.39,6,19,False
mask_p_move_12_over_d,20240602,250,842.051543,758.272692,83.7789,0.148,0.936,7.8602,12.36,2.41,6,18,False
mask_p_move_12_over_d,20240603,250,842.051543,753.851951,88.1996,0.144,0.892,8.4823,12.36,2.43,5,18,False
mask_p_move_1_over_d,20240601,250,842.051543,755.437701,86.6138,0.172,0.984,9.2535,1.94,0.97,1,6,True
mask_p_move_1_over_d,20240602,250,842.051543,754.049114,88.0024,0.192,0.972,11.9332,1.95,0.98,1,6,True
mask_p_move_1_over_d,20240603,250,842.051543,745.856903,96.1946,0.24,0.98,15.9594,1.97,1.04,1,6,True
scalar_all_coords_shared_step,20240601,250,842.051543,786.610342,55.4412,0.016,0.98,22.0968,23.0,0.0,23,23,False
single_coord_per_coord_step,20240601,250,842.051543,750.677288,91.3743,0.308,0.972,12.9405,1.0,0.0,1,1,False
single_coord_per_coord_step,20240602,250,842.051543,747.768861,94.2827,0.368,0.972,14.062,1.0,0.0,1,1,False
single_coord_per_coord_step,20240603,250,842.051543,753.349114,88.7024,0.328,0.98,13.0656,1.0,0.0,1,1,False
