block,name,label,estimate,lb,ub,fixed
common,c,training cost coeff c,17.96157352,0.00010000,30.00000000,false
regime,PU,unskilled productivity PU,1.77655274,0.00100000,5.00000000,false
regime,PS,skilled productivity PS,3.12386015,0.00100000,10.00000000,false
regime,bU,unskilled UI flow bU,0.00000411,0.00000000,7.00000000,false
regime,bT,training flow bT,0.49911004,0.00000000,7.00000000,false
regime,bS,skilled UI flow bS,0.00285085,0.00000000,7.00000000,false
regime,α_U,unskilled damage shape α_U,2.43689565,0.00100000,7.00000000,false
unsk,μ,unskilled matching eff μ_U,0.30413367,0.10000000,5.00000000,false
unsk,η,unskilled matching elas η_U,0.61519079,0.01000000,0.99000000,false
unsk,k,unskilled vacancy cost k_U,0.46744242,0.00001000,2.00000000,false
unsk,β,unskilled bargaining β_U,0.50207916,0.00010000,0.99000000,false
unsk,λ,unskilled damage rate λ_U,0.00285357,0.00100000,0.99000000,false
skl,μ,skilled matching eff μ_S,0.13876233,0.10000000,5.00000000,false
skl,η,skilled matching elas η_S,0.28777912,0.01000000,0.99000000,false
skl,k,skilled vacancy cost k_S,0.19434150,0.00001000,2.00000000,false
skl,β,skilled bargaining β_S,0.08647222,0.00010000,0.99000000,false
skl,ξ,skilled exog. sep rate ξ,0.00139859,0.00100000,0.99000000,false
skl,λ,skilled quality shock λ_S,0.03519324,0.00100000,0.99000000,false
skl,σ,OJS flow cost σ,0.15502631,0.00100000,0.50000000,false
fixed,r,r,0.05000000,,,true
fixed,ν,ν,0.02000000,,,true
fixed,a_ℓ,a_ℓ,2.00000000,,,true
fixed,b_ℓ,b_ℓ,5.00000000,,,true
fixed,φ,φ,0.20000000,,,true
fixed,a_Γ,a_Γ,1.00000000,,,true
fixed,b_Γ,b_Γ,5.00000000,,,true

# Q = 9.0549939593e+01
# converged = false
# iterations = 500
