block,name,label,estimate,lb,ub,fixed
common,a_ℓ,worker type shape a_ℓ,4.99999996,0.10000000,5.00000000,false
common,b_ℓ,worker type shape b_ℓ,0.05000019,0.05000000,4.00000000,false
common,c,training cost coeff c,4.49999987,-4.00000000,4.50000000,false
common,A,aggregate production scale A,9.99999998,1.00000000,10.00000000,false
unsk,bU,unskilled outside flow b_U,0.00000004,0.00000000,4.50000000,false
unsk,bT,training flow b_T,0.00000001,0.00000000,7.00000000,false
skl,bS,skilled outside flow b_S,0.00000002,0.00000000,2.00000000,false
unsk,PU,unskilled productivity P_U,0.10000058,0.10000000,12.00000000,false
skl,gamma_PS,skilled productivity γ_PS,1.00000002,1.00000000,25.00000000,false
unsk,α_U,unskilled damage shape α_U,0.10000006,0.10000000,20.50000000,false
skl,a_Γ,skilled offer shape a_Γ,3.40313178,0.10000000,20.00000000,false
skl,b_Γ,skilled offer shape b_Γ,17.99999987,0.10000000,18.00000000,false
unsk,μ,unskilled matching eff μ_U,3.89999997,0.02000000,3.90000000,false
skl,μ,skilled matching eff μ_S,0.66999487,0.01000000,4.50000000,false
unsk,β,unskilled bargaining β_U,0.99000000,0.00000000,0.99000000,false
skl,β,skilled bargaining β_S,0.99000000,0.00000000,0.99000000,false
unsk,λ,unskilled damage rate λ_U,0.00010002,0.00010000,2.50000000,false
skl,λ,skilled quality shock λ_S,0.50000000,0.00020000,0.50000000,false
unsk,k,unskilled vacancy cost k_U,0.18475420,0.00500000,6.00000000,false
skl,k,skilled vacancy cost k_S,0.02000005,0.02000000,8.00000000,false
skl,σ,OJS flow cost σ_S,1.50000000,0.00000000,1.50000000,false
skl,ξ,skilled exogenous separation ξ_S,0.00000000,0.00000000,0.52000000,false
fixed,r,r,0.00416667,,,true
fixed,ν,ν,0.00335677,,,true
fixed,φ,φ,0.02222129,,,true
fixed,unsk_η,unsk_η,0.50000000,,,true
fixed,skl_η,skl_η,0.50000000,,,true
fixed,unsk_σ_w,unsk_σ_w,0.23460991,,,true
fixed,skl_σ_w,skl_σ_w,0.21904048,,,true

# Q = 1.3975848215e+01
# converged = true
# iterations = 586
