block,name,label,estimate,lb,ub,fixed
common,a_ℓ,worker type shape a_ℓ,0.81543903,0.30000000,10.00000000,false
common,b_ℓ,worker type shape b_ℓ,0.30538004,0.30000000,10.00000000,false
common,c,training cost coeff c,7.32253210,0.01000000,8.00000000,false
regime,PU,unskilled productivity PU,2.44718470,0.05000000,6.00000000,false
regime,gamma_PS,skilled productivity γ_PS,4.46737130,0.10000000,10.00000000,false
regime,bU,unskilled UI flow bU,0.02093970,0.00000000,2.00000000,false
regime,bT,training flow bT,1.81202254,0.00000000,2.00000000,false
regime,bS,skilled UI flow bS,0.14898965,0.00000000,2.00000000,false
regime,α_U,unskilled damage shape α_U,0.98046187,0.10000000,20.00000000,false
regime,a_Γ,skilled offer shape a_Γ,0.37132878,0.30000000,10.00000000,false
regime,b_Γ,skilled offer shape b_Γ,3.26438345,0.30000000,10.00000000,false
unsk,μ,unskilled matching eff μ_U,0.10692306,0.01000000,1.50000000,false
unsk,η,unskilled matching elas η_U,0.55546644,0.10000000,0.90000000,false
unsk,k,unskilled vacancy cost k_U,0.04520575,0.00100000,1.50000000,false
unsk,β,unskilled bargaining β_U,0.89660188,0.05000000,0.95000000,false
unsk,λ,unskilled damage rate λ_U,0.39931280,0.00100000,0.40000000,false
skl,μ,skilled matching eff μ_S,0.34900990,0.01000000,1.50000000,false
skl,η,skilled matching elas η_S,0.88928461,0.10000000,0.90000000,false
skl,k,skilled vacancy cost k_S,0.10911226,0.00100000,1.50000000,false
skl,β,skilled bargaining β_S,0.79179734,0.05000000,0.95000000,false
skl,ξ,skilled exog. sep rate ξ,0.00000284,0.00000000,0.05000000,false
skl,λ,skilled quality shock λ_S,0.04623429,0.00100000,0.40000000,false
skl,σ,OJS flow cost σ,0.00840997,0.00000000,0.15000000,false
fixed,r,r,0.00416667,,,true
fixed,ν,ν,0.00323032,,,true
fixed,φ,φ,0.02222129,,,true

# Q = 2.3494652147e+00
# converged = false
# iterations = 3000
