block,name,label,estimate,lb,ub,fixed
common,c,training cost coeff c,6.94387223,0.01000000,8.00000000,false
regime,PU,unskilled productivity P_U,2.31629139,0.05000000,6.00000000,false
regime,gamma_PS,skilled productivity γ_PS,4.21756085,0.10000000,10.00000000,false
regime,α_U,unskilled damage shape α_U,0.83925765,0.01000000,20.00000000,false
regime,a_Γ,skilled offer shape a_Γ,0.25646224,0.01000000,10.00000000,false
regime,b_Γ,skilled offer shape b_Γ,2.65387609,0.01000000,10.00000000,false
unsk,μ,unskilled matching eff μ_U,0.07586200,0.00100000,1.50000000,false
unsk,η,unskilled matching elas η_U,0.70120943,0.10000000,0.90000000,false
unsk,k,unskilled vacancy cost k_U,0.06419662,0.00100000,1.50000000,false
unsk,β,unskilled bargaining β_U,0.91925159,0.05000000,0.95000000,false
unsk,λ,unskilled damage rate λ_U,0.30676613,0.00100000,0.40000000,false
skl,μ,skilled matching eff μ_S,0.50268347,0.01000000,1.50000000,false
skl,η,skilled matching elas η_S,0.89284912,0.10000000,0.90000000,false
skl,k,skilled vacancy cost k_S,0.14144235,0.00100000,1.50000000,false
skl,β,skilled bargaining β_S,0.83152497,0.05000000,0.95000000,false
skl,λ,skilled quality shock λ_S,0.05343588,0.00100000,0.40000000,false
skl,σ,OJS flow cost σ_S,0.00744688,0.00000000,0.15000000,false
fixed,r,r,0.00416667,,,true
fixed,ν,ν,0.00323032,,,true
fixed,φ,φ,0.02222129,,,true
fixed,a_ℓ,a_ℓ,0.89127714,,,true
fixed,b_ℓ,b_ℓ,0.32389841,,,true
fixed,bU,bU,0.03125322,,,true
fixed,bT,bT,1.58673832,,,true
fixed,bS,bS,0.01414780,,,true

# Q = 2.9895045030e+00
# converged = false
# iterations = 2000
